rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
4512,A5100421839,Yang Li,Yang Li,1,127,0.79,2023,2023,4.0,https://orcid.org/0009-0003-4011-2816,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100421839,1,Profile count,1,0
4513,A5100668329,Yang Li,Yang Li,1,12,8.33,2021,2021,0.0,https://orcid.org/0000-0002-6286-2939,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100668329,1,Profile count,1,0
4514,A5100695670,Yang Li,Yang Li,1,15,6.67,2023,2023,2.0,https://orcid.org/0000-0003-2186-2913,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100695670,1,Profile count,1,0
4515,A5100757744,Yang Li,Yang Li,1,67,1.49,2022,2022,1.0,https://orcid.org/0000-0002-4342-3121,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100757744,1,Profile count,1,0
4516,A5100760704,Yang Li,Yang Li,1,208,0.48,2025,2025,9.0,https://orcid.org/0000-0002-6065-4706,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100760704,1,Profile count,1,0
4517,A5100767888,Yang Li,Yang Li,1,283,0.35,2018,2018,0.0,https://orcid.org/0000-0001-6400-9184,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100767888,1,Profile count,1,0
4518,A5101880132,Yang Li,Yang Li,1,6,16.67,2023,2023,2.0,https://orcid.org/0000-0001-9406-6315,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101880132,1,Profile count,1,0
4519,A5101937669,Yang Li,Yang Li,1,22,4.55,2023,2023,1.0,https://orcid.org/0000-0003-0693-3074,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101937669,1,Profile count,1,0
4520,A5102021858,Yang Li,Yang Li,1,46,2.17,2019,2019,0.0,https://orcid.org/0000-0003-0684-1903,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5102021858,1,Profile count,1,0
4521,A5103641532,Yang Li,Yang Li,1,10,10.0,2010,2010,0.0,https://orcid.org/0009-0007-8452-4651,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5103641532,1,Profile count,1,0
4522,A5104319672,Yang Li,Yang Li,1,13,7.69,2022,2022,1.0,https://orcid.org/0009-0004-0478-9608,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5104319672,1,Profile count,1,0
4523,A5112874868,Yang Li,Yang Li,1,10,10.0,2023,2023,4.0,https://orcid.org/0009-0008-4029-1865,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5112874868,1,Profile count,1,0
4524,A5001059898,Yang Liu,Yang Liu,1,19,5.26,2013,2013,1.0,https://orcid.org/0000-0002-3595-423x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5001059898,1,Profile count,1,0
4525,A5001392952,Yang Liu,Yang Liu,1,14,7.14,2023,2023,2.0,https://orcid.org/0000-0001-8118-7775,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5001392952,1,Profile count,1,0
4526,A5002453567,Yang Liu,Yang Liu,1,71,1.41,2024,2024,4.0,https://orcid.org/0000-0002-0420-2211,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5002453567,1,Profile count,1,0
4527,A5020713910,Yang Liu,Yang Liu,1,14,7.14,2024,2024,3.0,https://orcid.org/0000-0001-7880-0639,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5020713910,1,Profile count,1,0
4528,A5025537865,Yang Liu,Yang Liu,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0002-7198-1032,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5025537865,1,Profile count,1,0
4529,A5033935681,Yang Liu,Yang Liu,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0001-6874-9868,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5033935681,1,Profile count,1,0
4530,A5036952846,Yang Liu,Yang Liu,1,133,0.75,2023,2023,2.0,https://orcid.org/0000-0003-4433-1066,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5036952846,1,Profile count,1,0
4531,A5039280625,Yang Liu,Yang Liu,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0003-4480-8899,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5039280625,1,Profile count,1,0
4532,A5043043179,Yang Liu,Yang Liu,1,29,3.45,2010,2010,0.0,,Probable,"Probable confidence: one paper matches the full RWD name, but there is no ORCID or second paper to confirm it.",Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5043043179,1,Profile count,1,0
4533,A5044180306,Yang Liu,Yang Liu,1,93,1.08,2018,2018,2.0,https://orcid.org/0000-0001-7993-126x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5044180306,1,Profile count,1,0
4534,A5047614812,Yang Liu,Yang Liu,1,105,0.95,2016,2016,2.0,https://orcid.org/0000-0003-2894-3468,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5047614812,1,Profile count,1,0
4535,A5051217195,Yang Liu,Yang Liu,1,5,20.0,2023,2023,1.0,https://orcid.org/0000-0003-4686-9724,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5051217195,1,Profile count,1,0
4536,A5054030468,Yang Liu,Yang Liu,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-4176-5160,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5054030468,1,Profile count,1,0
4537,A5066757374,Yang Liu,Yang Liu,1,79,1.27,2021,2021,3.0,https://orcid.org/0000-0002-0413-5637,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5066757374,1,Profile count,1,0
4538,A5075631027,Yang Liu,Yang Liu,1,167,0.6,2023,2023,2.0,https://orcid.org/0000-0003-1467-2652,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5075631027,1,Profile count,1,0
4539,A5081787039,Yang Liu,Yang Liu,1,32,3.12,2010,2010,0.0,https://orcid.org/0000-0003-2011-1704,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5081787039,1,Profile count,1,0
4540,A5083085819,Yang Liu,Yang Liu,1,57,1.75,2023,2023,2.0,https://orcid.org/0000-0001-6557-6439,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5083085819,1,Profile count,1,0
4541,A5083718325,Yang Liu,Yang Liu,1,7,14.29,2023,2023,1.0,https://orcid.org/0000-0002-9975-6742,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5083718325,1,Profile count,1,0
4542,A5100355634,Yang Liu,Yang Liu,1,201,0.5,2024,2024,6.0,https://orcid.org/0000-0001-5241-5433,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100355634,1,Profile count,1,0
4543,A5100355668,Yang Liu,Yang Liu,1,25,4.0,2023,2023,1.0,https://orcid.org/0000-0001-6423-6707,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100355668,1,Profile count,1,0
4544,A5100355723,Yang Liu,Yang Liu,1,328,0.3,2023,2023,1.0,https://orcid.org/0000-0001-8548-0223,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100355723,1,Profile count,1,0
